DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
15.25 ,22.60 ,12.02 ,115.60 ,16.10 ,607.10 ,4.38 ,0.26 ,0.11 ,0.78 
15.84 ,22.28 ,12.11 ,96.47 ,19.75 ,606.72 ,4.21 ,0.18 ,0.11 ,0.84 
15.97 ,22.62 ,12.12 ,81.66 ,20.88 ,601.06 ,4.24 ,0.12 ,0.09 ,0.72 
15.66 ,22.69 ,12.12 ,82.37 ,21.84 ,603.75 ,4.10 ,0.14 ,0.09 ,0.72 
15.56 ,23.24 ,12.11 ,88.86 ,16.50 ,603.98 ,4.01 ,0.20 ,0.09 ,0.82 
15.66 ,22.72 ,12.11 ,103.87 ,16.12 ,603.37 ,4.91 ,0.20 ,0.11 ,1.30 
15.77 ,22.22 ,12.11 ,118.87 ,15.74 ,602.74 ,5.81 ,0.20 ,0.11 ,1.78 
15.88 ,21.70 ,12.11 ,133.88 ,15.37 ,602.13 ,6.71 ,0.20 ,0.11 ,2.27 
15.98 ,21.20 ,12.09 ,148.89 ,14.99 ,601.51 ,7.63 ,0.20 ,0.12 ,2.76 
15.98 ,21.20 ,12.09 ,148.89 ,14.99 ,601.51 ,7.63 ,0.20 ,0.12 ,2.76 
16.44 ,18.51 ,12.14 ,126.09 ,15.28 ,601.81 ,7.79 ,0.21 ,0.12 ,2.99 
17.26 ,15.13 ,12.18 ,106.20 ,14.44 ,601.95 ,4.71 ,0.21 ,0.11 ,2.18 
17.84 ,13.86 ,12.22 ,99.66 ,13.13 ,605.97 ,4.39 ,0.20 ,0.11 ,1.74 
17.92 ,13.48 ,12.18 ,100.50 ,12.37 ,606.28 ,2.62 ,0.20 ,0.11 ,1.63 
17.71 ,13.05 ,12.03 ,86.85 ,12.54 ,654.85 ,2.27 ,0.26 ,0.09 ,2.55 
18.33 ,12.34 ,12.15 ,92.86 ,10.02 ,608.95 ,1.97 ,0.20 ,0.11 ,2.30 
18.33 ,12.25 ,12.15 ,86.13 ,9.62 ,633.76 ,1.80 ,0.21 ,0.11 ,1.77 
17.89 ,12.46 ,12.06 ,73.41 ,11.13 ,715.27 ,2.44 ,0.32 ,0.09 ,2.36 
16.30 ,14.32 ,11.90 ,50.04 ,7.79 ,843.75 ,4.07 ,0.34 ,0.08 ,2.79 
17.64 ,13.15 ,12.03 ,70.27 ,11.25 ,691.15 ,4.13 ,0.26 ,0.09 ,1.81 
17.40 ,13.63 ,11.97 ,66.61 ,9.78 ,754.69 ,3.84 ,0.29 ,0.09 ,2.30 
17.96 ,13.36 ,12.05 ,68.47 ,11.00 ,750.48 ,4.10 ,0.26 ,0.09 ,3.69 
18.33 ,12.60 ,12.08 ,77.68 ,11.41 ,739.50 ,4.15 ,0.26 ,0.09 ,3.74 
18.70 ,12.06 ,12.12 ,91.87 ,11.71 ,677.05 ,4.21 ,0.21 ,0.09 ,3.75 
19.03 ,11.56 ,12.17 ,74.19 ,12.55 ,721.78 ,4.33 ,0.20 ,0.09 ,3.83 
19.54 ,10.92 ,12.23 ,89.90 ,15.59 ,612.53 ,4.19 ,0.17 ,0.09 ,3.57 
19.46 ,10.55 ,12.17 ,88.45 ,13.51 ,616.83 ,4.42 ,0.14 ,0.09 ,3.43 
19.87 ,9.15 ,12.17 ,152.00 ,13.85 ,614.04 ,4.73 ,0.17 ,0.12 ,3.72 
20.51 ,7.52 ,12.22 ,166.06 ,14.47 ,610.05 ,3.81 ,0.20 ,0.14 ,4.39 
20.83 ,7.35 ,12.28 ,114.82 ,14.73 ,676.49 ,3.11 ,0.18 ,0.11 ,3.77 
20.89 ,7.09 ,12.28 ,91.21 ,15.30 ,693.04 ,2.91 ,0.18 ,0.09 ,3.52 
20.51 ,7.49 ,12.26 ,90.97 ,14.72 ,667.58 ,2.71 ,0.17 ,0.09 ,3.07 
20.77 ,6.56 ,11.51 ,161.89 ,12.40 ,707.78 ,4.27 ,0.26 ,0.09 ,3.39 
20.86 ,6.92 ,11.90 ,118.17 ,15.31 ,678.81 ,4.10 ,0.18 ,0.09 ,3.11 
20.97 ,7.30 ,12.26 ,74.47 ,18.22 ,649.83 ,3.95 ,0.12 ,0.09 ,2.85 
20.80 ,6.98 ,12.28 ,67.77 ,17.96 ,623.30 ,3.69 ,0.09 ,0.09 ,2.58 
20.76 ,7.00 ,12.31 ,64.36 ,19.09 ,640.48 ,3.61 ,0.09 ,0.09 ,2.56 
20.83 ,6.89 ,12.34 ,60.30 ,20.44 ,613.58 ,3.74 ,0.08 ,0.09 ,2.27 
20.91 ,6.91 ,12.32 ,61.00 ,22.25 ,611.20 ,3.80 ,0.08 ,0.09 ,2.18 
20.76 ,6.79 ,12.38 ,51.76 ,21.73 ,623.21 ,3.84 ,0.06 ,0.08 ,2.12 
20.91 ,6.95 ,12.41 ,52.28 ,23.32 ,626.38 ,3.87 ,0.06 ,0.09 ,2.14 
21.72 ,6.88 ,12.44 ,46.18 ,25.22 ,668.50 ,4.03 ,0.06 ,0.08 ,2.30 
22.45 ,7.81 ,12.61 ,36.89 ,28.62 ,700.25 ,4.27 ,0.05 ,0.08 ,2.56 
22.45 ,7.81 ,12.61 ,36.45 ,32.99 ,657.15 ,4.10 ,0.05 ,0.08 ,2.10 
22.51 ,8.08 ,12.73 ,37.36 ,35.20 ,607.36 ,4.24 ,0.05 ,0.08 ,1.54 
22.54 ,8.24 ,12.70 ,37.65 ,32.22 ,624.18 ,4.27 ,0.05 ,0.08 ,1.66 
22.52 ,8.77 ,12.70 ,37.65 ,38.26 ,634.58 ,4.47 ,0.05 ,0.08 ,1.77 
22.40 ,9.01 ,12.73 ,36.63 ,35.88 ,625.11 ,4.45 ,0.05 ,0.08 ,1.66 
22.75 ,10.51 ,12.84 ,33.69 ,29.92 ,635.68 ,4.33 ,0.05 ,0.08 ,1.57 
23.06 ,10.86 ,12.90 ,38.43 ,35.20 ,652.46 ,4.62 ,0.05 ,0.08 ,1.78 
22.86 ,11.57 ,12.95 ,42.24 ,35.30 ,663.41 ,4.36 ,0.05 ,0.08 ,1.85 
21.69 ,11.64 ,12.84 ,42.38 ,34.31 ,652.88 ,4.71 ,0.05 ,0.08 ,1.95 
21.37 ,11.82 ,12.83 ,42.03 ,33.41 ,651.51 ,11.24 ,0.05 ,0.08 ,1.77 
21.29 ,12.12 ,12.73 ,52.05 ,41.82 ,615.43 ,7.63 ,0.06 ,0.08 ,2.09 
21.64 ,12.86 ,12.86 ,50.22 ,52.31 ,609.91 ,4.74 ,0.06 ,0.08 ,1.74 
19.96 ,12.93 ,12.61 ,63.47 ,42.01 ,617.09 ,4.25 ,0.08 ,0.09 ,2.17 
19.61 ,10.64 ,12.49 ,55.17 ,38.54 ,619.15 ,4.13 ,0.09 ,0.09 ,2.46 
20.18 ,9.23 ,12.58 ,42.26 ,39.85 ,613.51 ,4.15 ,0.08 ,0.08 ,2.59 
20.72 ,8.89 ,12.70 ,33.35 ,38.14 ,608.99 ,4.09 ,0.06 ,0.08 ,2.23 
21.20 ,8.75 ,12.79 ,35.55 ,37.38 ,607.30 ,4.10 ,0.05 ,0.08 ,2.10 
21.69 ,8.86 ,12.87 ,27.85 ,35.84 ,607.58 ,3.97 ,0.05 ,0.08 ,1.81 
22.52 ,9.33 ,12.98 ,23.03 ,35.90 ,629.86 ,4.70 ,0.05 ,0.06 ,1.65 
22.14 ,9.46 ,12.95 ,27.05 ,37.61 ,620.03 ,5.03 ,0.05 ,0.08 ,1.77 
21.69 ,9.94 ,12.92 ,24.42 ,45.49 ,620.81 ,5.29 ,0.05 ,0.08 ,1.46 
21.11 ,9.76 ,12.84 ,25.32 ,41.42 ,628.62 ,5.29 ,0.05 ,0.06 ,1.86 
20.91 ,8.91 ,12.76 ,39.53 ,39.24 ,638.35 ,7.85 ,0.05 ,0.08 ,1.56 
21.17 ,7.06 ,12.72 ,38.61 ,36.08 ,643.86 ,6.05 ,0.05 ,0.08 ,1.66 
21.61 ,6.41 ,12.78 ,31.23 ,38.72 ,615.17 ,6.02 ,0.05 ,0.08 ,1.60 
21.75 ,6.19 ,12.78 ,32.19 ,36.33 ,615.76 ,5.99 ,0.05 ,0.08 ,1.62 
22.04 ,6.12 ,12.86 ,30.07 ,37.76 ,616.60 ,5.37 ,0.05 ,0.08 ,1.57 
21.96 ,6.51 ,12.89 ,24.72 ,33.15 ,615.35 ,5.78 ,0.05 ,0.08 ,1.39 
21.93 ,7.99 ,12.87 ,23.27 ,29.19 ,615.40 ,6.21 ,0.05 ,0.06 ,1.13 
22.17 ,7.93 ,12.87 ,23.77 ,35.36 ,616.01 ,6.02 ,0.05 ,0.08 ,1.14 
21.56 ,8.72 ,12.76 ,30.76 ,35.94 ,624.81 ,5.60 ,0.05 ,0.08 ,1.25 
20.83 ,8.40 ,12.66 ,27.76 ,41.37 ,620.43 ,5.52 ,0.05 ,0.08 ,1.65 
20.45 ,8.14 ,12.60 ,22.13 ,44.56 ,620.84 ,5.81 ,0.05 ,0.06 ,1.45 
21.01 ,8.60 ,12.66 ,21.50 ,45.16 ,618.59 ,4.68 ,0.05 ,0.05 ,1.20 
21.03 ,9.12 ,12.64 ,22.72 ,46.44 ,619.78 ,4.76 ,0.05 ,0.05 ,1.42 
21.26 ,9.91 ,12.69 ,23.65 ,58.10 ,625.65 ,4.79 ,0.05 ,0.05 ,1.48 
21.11 ,10.19 ,12.75 ,20.94 ,70.46 ,621.01 ,4.68 ,0.05 ,0.05 ,1.36 
20.47 ,10.19 ,12.63 ,23.79 ,66.22 ,614.77 ,4.96 ,0.05 ,0.05 ,1.36 
20.33 ,10.08 ,12.52 ,19.47 ,59.96 ,619.97 ,7.09 ,0.05 ,0.05 ,1.37 
20.16 ,10.11 ,12.47 ,17.00 ,57.00 ,621.99 ,12.73 ,0.05 ,0.05 ,1.31 
19.89 ,10.46 ,12.41 ,21.20 ,51.12 ,629.40 ,3.51 ,0.05 ,0.05 ,1.43 
19.93 ,10.69 ,12.41 ,17.40 ,48.97 ,621.09 ,3.77 ,0.05 ,0.05 ,1.24 
19.70 ,10.55 ,12.32 ,18.04 ,47.63 ,613.46 ,3.83 ,0.05 ,0.05 ,1.25 
19.41 ,10.28 ,12.26 ,22.20 ,32.60 ,623.19 ,2.97 ,0.05 ,0.05 ,1.40 
19.57 ,10.60 ,12.28 ,20.63 ,24.02 ,623.94 ,3.71 ,0.05 ,0.05 ,1.33 
19.49 ,10.58 ,12.22 ,23.09 ,19.63 ,627.28 ,3.00 ,0.06 ,0.05 ,1.36 
19.35 ,10.84 ,12.17 ,22.04 ,17.84 ,626.52 ,3.00 ,0.06 ,0.05 ,1.34 
19.18 ,11.50 ,12.26 ,23.38 ,18.80 ,618.83 ,2.44 ,0.05 ,0.05 ,1.22 
18.82 ,12.03 ,12.22 ,22.20 ,17.57 ,619.24 ,2.50 ,0.05 ,0.06 ,1.25 
18.88 ,12.75 ,12.18 ,22.16 ,11.94 ,621.68 ,2.84 ,0.05 ,0.05 ,1.49 
18.96 ,12.69 ,12.12 ,30.42 ,14.00 ,667.16 ,2.09 ,0.06 ,0.05 ,1.69 
18.82 ,11.70 ,12.12 ,22.08 ,21.53 ,637.47 ,2.01 ,0.06 ,0.05 ,1.74 
18.56 ,11.13 ,12.08 ,16.20 ,30.64 ,627.63 ,2.04 ,0.06 ,0.05 ,1.45 
18.22 ,10.92 ,12.02 ,19.15 ,32.04 ,621.09 ,1.45 ,0.06 ,0.05 ,1.40 
19.06 ,11.15 ,12.09 ,21.03 ,12.69 ,630.85 ,3.97 ,0.05 ,0.05 ,1.39 
19.41 ,11.41 ,12.12 ,19.23 ,11.45 ,629.81 ,7.87 ,0.05 ,0.05 ,1.30 
19.25 ,11.61 ,12.11 ,28.87 ,9.81 ,623.19 ,5.43 ,0.06 ,0.05 ,1.33 
19.60 ,12.20 ,12.22 ,32.53 ,15.66 ,623.19 ,5.57 ,0.05 ,0.06 ,1.40 
19.64 ,13.22 ,12.28 ,29.86 ,18.45 ,623.86 ,5.51 ,0.05 ,0.05 ,1.34 
20.04 ,13.89 ,12.35 ,27.42 ,21.21 ,626.18 ,5.49 ,0.05 ,0.05 ,1.33 
19.86 ,14.69 ,12.35 ,27.10 ,19.26 ,623.80 ,5.63 ,0.05 ,0.05 ,1.34 
19.28 ,16.44 ,12.22 ,23.33 ,18.94 ,622.18 ,5.44 ,0.05 ,0.05 ,1.08 
19.98 ,18.28 ,12.40 ,18.25 ,18.61 ,622.37 ,5.40 ,0.05 ,0.05 ,1.13 
20.08 ,17.58 ,12.51 ,18.44 ,17.55 ,625.46 ,5.89 ,0.05 ,0.05 ,0.99 
19.96 ,18.91 ,12.55 ,21.87 ,17.28 ,638.85 ,5.55 ,0.05 ,0.05 ,1.04 
19.78 ,20.56 ,12.47 ,20.24 ,17.10 ,618.08 ,5.58 ,0.05 ,0.03 ,1.08 
18.79 ,21.18 ,12.41 ,38.28 ,20.71 ,619.68 ,5.75 ,0.05 ,0.06 ,1.20 
19.28 ,22.75 ,12.57 ,20.60 ,20.40 ,620.07 ,5.75 ,0.05 ,0.05 ,0.92 
19.35 ,23.50 ,12.66 ,14.08 ,25.65 ,619.81 ,5.73 ,0.05 ,0.05 ,0.78 
17.08 ,22.97 ,12.31 ,38.09 ,15.71 ,623.82 ,4.42 ,0.05 ,0.05 ,1.08 
16.58 ,22.54 ,12.29 ,23.74 ,11.88 ,627.60 ,5.08 ,0.05 ,0.05 ,0.98 
16.29 ,22.16 ,12.15 ,52.96 ,8.66 ,628.70 ,4.85 ,0.06 ,0.05 ,1.28 
15.89 ,23.24 ,12.15 ,51.67 ,8.78 ,632.36 ,5.11 ,0.08 ,0.06 ,1.53 
16.42 ,21.59 ,12.17 ,61.44 ,8.37 ,634.81 ,5.08 ,0.06 ,0.06 ,1.48 
16.68 ,19.52 ,12.15 ,49.99 ,9.96 ,630.13 ,4.82 ,0.08 ,0.06 ,1.48 
16.61 ,18.48 ,12.15 ,30.29 ,8.74 ,626.74 ,4.58 ,0.09 ,0.05 ,1.13 
16.71 ,18.50 ,12.12 ,26.64 ,3.68 ,631.41 ,4.35 ,0.09 ,0.05 ,1.05 
16.70 ,18.82 ,12.09 ,30.26 ,3.20 ,636.60 ,4.27 ,0.09 ,0.05 ,1.24 
16.47 ,18.82 ,12.05 ,24.80 ,5.70 ,635.44 ,4.27 ,0.11 ,0.05 ,1.13 
16.27 ,19.03 ,11.99 ,30.99 ,4.24 ,636.38 ,4.18 ,0.14 ,0.05 ,1.27 
16.32 ,19.12 ,11.97 ,31.72 ,3.90 ,631.18 ,4.21 ,0.14 ,0.05 ,1.24 
16.41 ,18.44 ,12.00 ,36.04 ,2.85 ,632.75 ,4.33 ,0.15 ,0.06 ,1.40 
16.79 ,17.89 ,12.08 ,34.07 ,5.54 ,629.32 ,4.21 ,0.15 ,0.05 ,1.42 
17.13 ,18.76 ,12.14 ,35.93 ,9.00 ,626.79 ,4.45 ,0.15 ,0.05 ,1.43 
17.54 ,19.90 ,12.20 ,34.19 ,11.83 ,637.85 ,4.44 ,0.14 ,0.05 ,1.42 
17.72 ,20.19 ,12.22 ,40.31 ,15.45 ,635.19 ,4.93 ,0.09 ,0.05 ,1.53 
17.89 ,20.25 ,12.29 ,42.01 ,21.06 ,634.71 ,4.90 ,0.06 ,0.05 ,1.54 
17.14 ,20.34 ,12.14 ,44.18 ,9.87 ,634.17 ,4.61 ,0.14 ,0.06 ,1.59 
17.74 ,20.71 ,12.32 ,44.39 ,20.02 ,659.21 ,4.71 ,0.08 ,0.05 ,1.60 
18.73 ,23.12 ,12.61 ,32.04 ,25.73 ,679.10 ,5.17 ,0.05 ,0.05 ,1.46 
18.24 ,23.50 ,12.54 ,40.53 ,23.47 ,648.78 ,5.15 ,0.05 ,0.05 ,1.45 
16.67 ,23.13 ,12.38 ,91.50 ,26.89 ,640.70 ,5.61 ,0.06 ,0.09 ,2.00 
16.21 ,22.31 ,12.31 ,55.34 ,29.66 ,637.01 ,5.35 ,0.08 ,0.08 ,1.74 
16.13 ,21.73 ,12.14 ,108.72 ,19.28 ,635.24 ,5.23 ,0.12 ,0.09 ,1.98 
15.88 ,21.21 ,12.22 ,72.04 ,21.91 ,619.23 ,6.47 ,0.14 ,0.08 ,1.80 
16.53 ,21.67 ,12.29 ,66.80 ,18.28 ,618.59 ,5.63 ,0.12 ,0.08 ,1.72 
17.90 ,23.65 ,12.61 ,58.03 ,28.01 ,648.77 ,5.70 ,0.09 ,0.06 ,1.92 
19.00 ,24.48 ,12.76 ,58.38 ,29.87 ,641.67 ,5.90 ,0.06 ,0.06 ,1.80 
19.40 ,25.24 ,12.84 ,61.79 ,34.10 ,640.52 ,5.83 ,0.06 ,0.06 ,1.77 
20.48 ,27.02 ,13.08 ,115.87 ,49.14 ,636.55 ,6.22 ,0.06 ,0.08 ,1.65 
18.38 ,27.07 ,13.08 ,84.16 ,52.48 ,636.09 ,6.63 ,0.08 ,0.08 ,1.59 
16.81 ,26.32 ,13.01 ,72.39 ,49.55 ,649.67 ,6.65 ,0.08 ,0.08 ,1.74 
16.93 ,27.08 ,13.12 ,40.08 ,49.76 ,648.00 ,6.21 ,0.06 ,0.06 ,1.66 
16.85 ,27.79 ,12.76 ,54.72 ,24.14 ,662.02 ,5.72 ,0.06 ,0.06 ,1.75 
16.93 ,30.50 ,12.87 ,76.34 ,19.96 ,660.29 ,5.75 ,0.08 ,0.08 ,1.68 
15.04 ,30.09 ,12.55 ,49.55 ,11.04 ,652.11 ,5.32 ,0.08 ,0.06 ,1.53 
14.72 ,32.07 ,12.47 ,35.52 ,9.82 ,652.33 ,5.03 ,0.06 ,0.05 ,1.54 
14.06 ,33.81 ,12.37 ,33.20 ,10.03 ,657.99 ,5.00 ,0.08 ,0.05 ,1.66 
13.28 ,34.10 ,12.22 ,39.41 ,8.62 ,662.17 ,5.11 ,0.09 ,0.06 ,1.66 
13.28 ,33.38 ,12.14 ,50.33 ,11.07 ,660.20 ,5.23 ,0.11 ,0.06 ,1.68 
14.11 ,29.40 ,12.18 ,57.43 ,12.11 ,656.30 ,5.28 ,0.12 ,0.06 ,1.75 
14.56 ,27.13 ,12.14 ,60.01 ,11.13 ,653.19 ,5.38 ,0.14 ,0.06 ,1.81 
15.28 ,25.01 ,12.14 ,69.57 ,11.13 ,661.79 ,5.06 ,0.17 ,0.08 ,1.80 
15.39 ,24.57 ,12.18 ,65.50 ,14.52 ,665.36 ,4.68 ,0.15 ,0.08 ,1.78 
16.17 ,25.64 ,12.25 ,68.64 ,13.98 ,664.52 ,4.85 ,0.17 ,0.08 ,1.46 
16.52 ,26.76 ,12.32 ,60.59 ,20.50 ,665.19 ,4.90 ,0.12 ,0.08 ,1.49 
17.22 ,27.88 ,12.47 ,61.09 ,29.14 ,667.61 ,4.93 ,0.09 ,0.08 ,1.43 
16.21 ,27.68 ,12.34 ,92.78 ,24.58 ,673.44 ,5.28 ,0.09 ,0.08 ,1.65 
16.87 ,27.86 ,12.51 ,78.75 ,27.18 ,669.63 ,5.26 ,0.09 ,0.08 ,1.51 
19.31 ,31.00 ,12.96 ,77.33 ,32.64 ,666.15 ,5.76 ,0.06 ,0.08 ,1.42 
17.03 ,30.30 ,12.83 ,63.82 ,32.27 ,664.63 ,5.54 ,0.06 ,0.08 ,1.19 
15.27 ,30.07 ,12.52 ,74.36 ,38.84 ,669.02 ,5.35 ,0.08 ,0.06 ,1.40 
14.73 ,30.82 ,12.55 ,109.04 ,41.33 ,669.34 ,5.75 ,0.12 ,0.09 ,1.54 
14.44 ,31.70 ,12.43 ,136.29 ,36.30 ,666.29 ,5.86 ,0.14 ,0.11 ,1.51 
14.15 ,31.11 ,12.37 ,76.20 ,32.85 ,667.16 ,5.17 ,0.09 ,0.09 ,1.37 
15.27 ,30.94 ,12.55 ,50.40 ,25.54 ,664.85 ,5.05 ,0.06 ,0.08 ,1.42 
16.18 ,30.87 ,12.64 ,45.63 ,19.43 ,683.95 ,5.22 ,0.05 ,0.06 ,1.56 
16.52 ,30.67 ,12.72 ,49.17 ,18.86 ,689.18 ,5.38 ,0.05 ,0.06 ,1.68 
16.70 ,30.76 ,12.95 ,47.40 ,18.68 ,662.03 ,5.09 ,0.05 ,0.06 ,1.37 
16.35 ,30.91 ,12.92 ,42.88 ,19.38 ,662.90 ,4.68 ,0.05 ,0.05 ,1.39 
16.04 ,31.63 ,12.93 ,43.94 ,18.13 ,666.56 ,5.05 ,0.05 ,0.05 ,1.31 
15.75 ,33.15 ,12.90 ,48.17 ,18.50 ,668.68 ,4.83 ,0.05 ,0.06 ,1.20 
14.91 ,34.83 ,12.75 ,58.59 ,16.87 ,667.13 ,4.88 ,0.05 ,0.06 ,1.04 
14.38 ,35.87 ,12.70 ,74.88 ,19.00 ,667.72 ,5.03 ,0.05 ,0.06 ,1.16 
13.42 ,36.68 ,12.47 ,79.01 ,14.43 ,674.07 ,4.86 ,0.06 ,0.06 ,1.14 
12.93 ,36.23 ,12.46 ,75.69 ,15.28 ,673.58 ,5.49 ,0.08 ,0.09 ,1.27 
12.96 ,36.51 ,12.32 ,62.60 ,12.70 ,680.76 ,4.90 ,0.08 ,0.08 ,0.93 
13.13 ,37.06 ,12.31 ,58.70 ,11.94 ,684.56 ,4.77 ,0.06 ,0.06 ,1.04 
13.27 ,36.80 ,12.35 ,64.61 ,16.33 ,679.42 ,5.15 ,0.08 ,0.08 ,1.17 
13.33 ,36.58 ,12.38 ,56.90 ,20.37 ,678.20 ,4.82 ,0.05 ,0.08 ,1.17 
13.05 ,34.94 ,12.31 ,73.79 ,23.13 ,669.72 ,4.91 ,0.09 ,0.08 ,1.04 
13.40 ,34.30 ,12.26 ,75.59 ,20.21 ,668.74 ,5.66 ,0.09 ,0.08 ,1.11 
13.88 ,33.06 ,12.18 ,90.89 ,23.41 ,668.12 ,4.83 ,0.12 ,0.08 ,1.36 
15.60 ,35.04 ,12.47 ,74.57 ,26.14 ,665.43 ,4.96 ,0.09 ,0.08 ,1.16 
14.55 ,34.69 ,12.35 ,71.58 ,24.19 ,665.68 ,4.85 ,0.06 ,0.08 ,1.19 
13.69 ,35.11 ,12.26 ,71.90 ,22.34 ,670.51 ,4.83 ,0.08 ,0.08 ,1.24 
14.20 ,36.80 ,12.32 ,61.49 ,18.19 ,671.08 ,4.58 ,0.08 ,0.08 ,1.16 
14.73 ,38.69 ,12.52 ,49.17 ,55.21 ,667.92 ,4.82 ,0.05 ,0.06 ,1.11 
13.91 ,38.96 ,12.44 ,56.61 ,18.22 ,669.76 ,4.85 ,0.06 ,0.06 ,1.08 
14.23 ,38.35 ,12.54 ,49.03 ,15.39 ,668.67 ,4.88 ,0.06 ,0.06 ,1.14 
15.05 ,40.02 ,12.66 ,37.84 ,16.13 ,666.81 ,4.76 ,0.05 ,0.06 ,1.08 
16.15 ,41.08 ,12.84 ,33.73 ,15.48 ,665.30 ,4.85 ,0.05 ,0.05 ,1.11 
14.61 ,40.55 ,12.76 ,45.78 ,12.35 ,664.27 ,5.25 ,0.06 ,0.05 ,1.05 
13.42 ,39.39 ,12.61 ,46.56 ,10.20 ,668.67 ,4.79 ,0.05 ,0.05 ,0.99 
13.04 ,36.86 ,12.47 ,44.96 ,10.16 ,671.20 ,4.82 ,0.05 ,0.06 ,1.11 
13.74 ,37.41 ,12.52 ,40.98 ,8.65 ,672.48 ,4.86 ,0.05 ,0.06 ,1.10 
14.90 ,38.05 ,12.66 ,41.82 ,10.23 ,671.31 ,5.28 ,0.05 ,0.06 ,1.11 
15.57 ,39.48 ,12.78 ,45.61 ,23.18 ,671.90 ,5.37 ,0.05 ,0.06 ,1.04 
15.51 ,41.30 ,12.87 ,48.40 ,67.45 ,668.07 ,5.09 ,0.05 ,0.06 ,1.01 
14.38 ,42.94 ,12.79 ,75.44 ,36.40 ,676.17 ,5.41 ,0.06 ,0.08 ,1.11 
13.39 ,43.14 ,12.72 ,60.47 ,19.03 ,680.39 ,5.15 ,0.06 ,0.08 ,1.02 
13.07 ,42.65 ,12.66 ,44.68 ,10.32 ,683.63 ,5.06 ,0.05 ,0.06 ,0.88 
12.75 ,42.12 ,12.66 ,43.49 ,11.48 ,687.03 ,5.63 ,0.05 ,0.06 ,0.90 
12.89 ,42.61 ,12.58 ,47.81 ,10.51 ,684.57 ,5.81 ,0.05 ,0.06 ,0.92 
13.22 ,43.34 ,12.55 ,51.94 ,11.53 ,679.71 ,7.03 ,0.06 ,0.08 ,0.81 
12.73 ,42.97 ,12.54 ,59.70 ,7.11 ,671.14 ,7.08 ,0.06 ,0.08 ,0.92 
11.59 ,40.99 ,12.25 ,69.63 ,8.25 ,663.95 ,8.07 ,0.14 ,0.09 ,0.98 
11.47 ,39.70 ,12.06 ,86.76 ,8.02 ,645.81 ,5.49 ,0.20 ,0.09 ,1.31 
11.29 ,39.88 ,11.96 ,84.45 ,7.29 ,637.39 ,5.38 ,0.23 ,0.11 ,1.45 
12.32 ,41.56 ,12.09 ,67.62 ,9.03 ,649.10 ,4.93 ,0.20 ,0.11 ,0.85 
13.83 ,43.75 ,12.40 ,34.80 ,15.45 ,650.29 ,4.56 ,0.11 ,0.08 ,0.59 
14.88 ,43.84 ,12.58 ,30.88 ,16.58 ,648.23 ,4.64 ,0.06 ,0.06 ,0.82 
13.97 ,42.11 ,12.51 ,47.64 ,22.78 ,648.75 ,4.85 ,0.05 ,0.06 ,0.85 
12.51 ,39.97 ,12.29 ,71.77 ,12.78 ,664.76 ,5.08 ,0.09 ,0.09 ,1.01 
